logical-address=30023,page-number=7,offset=1351
tlb-remove=none,tlb-add=140logical-address=577536,page-number=141,offset=0
tlb-hit=0,page-number=141,frame=none,physical-address=none
tlb-remove=none,tlb-add=141logical-address=581632,page-number=142,offset=0
tlb-hit=0,page-number=142,frame=none,physical-address=none
tlb-remove=none,tlb-add=142logical-address=585728,page-number=143,offset=0
tlb-hit=0,page-number=143,frame=none,physical-address=none
tlb-remove=none,tlb-add=143logical-address=589824,page-number=144,offset=0
tlb-hit=0,page-number=144,frame=none,physical-address=none
tlb-remove=none,tlb-add=144logical-address=593920,page-number=145,offset=0
tlb-hit=0,page-number=145,frame=none,physical-address=none
tlb-remove=none,tlb-add=145logical-address=598016,page-number=146,offset=0
tlb-hit=0,page-number=146,frame=none,physical-address=none
tlb-remove=none,tlb-add=146logical-address=602112,page-number=147,offset=0
tlb-hit=0,page-number=147,frame=none,physical-address=none
tlb-remove=none,tlb-add=147logical-address=606208,page-number=148,offset=0
tlb-hit=0,page-number=148,frame=none,physical-address=none
tlb-remove=none,tlb-add=148logical-address=610304,page-number=149,offset=0
tlb-hit=0,page-number=149,frame=none,physical-address=none
tlb-remove=none,tlb-add=149logical-address=614400,page-number=150,offset=0
tlb-hit=0,page-number=150,frame=none,physical-address=none
tlb-remove=none,tlb-add=150logical-address=618496,page-number=151,offset=0
tlb-hit=0,page-number=151,frame=none,physical-address=none
tlb-remove=none,tlb-add=151logical-address=622592,page-number=152,offset=0
tlb-hit=0,page-number=152,frame=none,physical-address=none
tlb-remove=none,tlb-add=152logical-address=626688,page-number=153,offset=0
tlb-hit=0,page-number=153,frame=none,physical-address=none
tlb-remove=none,tlb-add=153logical-address=630784,page-number=154,offset=0
tlb-hit=0,page-number=154,frame=none,physical-address=none
tlb-remove=none,tlb-add=154logical-address=634880,page-number=155,offset=0
tlb-hit=0,page-number=155,frame=none,physical-address=none
tlb-remove=none,tlb-add=155logical-address=638976,page-number=156,offset=0
tlb-hit=0,page-number=156,frame=none,physical-address=none
tlb-remove=none,tlb-add=156logical-address=643072,page-number=157,offset=0
